38059130:['project management', 'employment law', 'purchasing']
24695561:['telecommunications', 'access', 'council']
93512385:['insurance', 'office', 'managing']
38698573:['report preparation', 'in person and telephone interviewing', 'human resources management systems']
18090899:['project management', 'spanish', 'direct mail']
23804341:['spanish skills', 'administrative support', 'document retrieval']
29177904:['project management', 'presentations', 'interviewing']
17911230:['approach', 'strategic', 'catalog']
19926135:['proven patience and self discipline', 'strong interpersonal skills', 'relationship and team building']
44115326:['switch capacity', 'net backup', 'access']
75435017:['adaptability', 'strong assessment skills', 'detail oriented']
